Namn,Dag,Månad,Ingår i namnlängden,Typ
Pieter,29,6,Nej,Namn
Piotr,29,6,Nej,Namn
Elf,30,6,Nej,Namn
Elof,30,6,Ja,Namn
Leif,30,6,Ja,Namn
Aron,1,7,Ja,Namn
Mirja,1,7,Nej,Namn
Mirjam,1,7,Ja,Namn
Rosa,2,7,Ja,Namn
Rosalie,2,7,Nej,Namn
Rosi,2,7,Nej,Namn
Rosie,2,7,Nej,Namn
Rosina,2,7,Nej,Namn
Rosine,2,7,Nej,Namn
Rosita,2,7,Ja,Namn
Aura,3,7,Nej,Namn
Aurora,3,7,Ja,Namn
Aurore,3,7,Nej,Namn
Rika,4,7,Nej,Namn
Ulla,4,7,Ja,Namn
Ulrika,4,7,Ja,Namn
Ulrike,4,7,Nej,Namn
Aila,5,7,Nej,Namn
Aili,5,7,Nej,Namn
Laila,5,7,Ja,Namn
Ritva,5,7,Ja,Namn
Esa,6,7,Nej,Namn
Esaias,6,7,Ja,Namn
Esse,6,7,Nej,Namn
Jessika,6,7,Ja,Namn
Claes,7,7,Nej,Namn
Claus,7,7,Nej,Namn
Klas,7,7,Ja,Namn
Klaus,7,7,Nej,Namn
Kettil,8,7,Nej,Namn
Kjell,8,7,Ja,Namn
Jörgen,9,7,Ja,Namn
Jörn,9,7,Nej,Namn
Jürgen,9,7,Nej,Namn
Örjan,9,7,Ja,Namn
André,10,7,Ja,Namn
Andrea,10,7,Ja,Namn
Andrietta,10,7,Nej,Namn
Eleanor,11,7,Nej,Namn
Eleonora,11,7,Ja,Namn
Eleonore,11,7,Nej,Namn
Elli,11,7,Nej,Namn
Ellinor,11,7,Ja,Namn
Elly,11,7,Nej,Namn
Leonor,11,7,Nej,Namn
Leonora,11,7,Nej,Namn
Leonore,11,7,Nej,Namn
Nellie,11,7,Nej,Namn
Nelly,11,7,Nej,Namn
Nora,11,7,Nej,Namn
Herman,12,7,Ja,Namn
Hermina,12,7,Nej,Namn
Hermine,12,7,Ja,Namn
Joel,13,7,Ja,Namn
Judit,13,7,Ja,Namn
Jutta,13,7,Nej,Namn
Jytte,13,7,Nej,Namn
Folke,14,7,Ja,Namn
Ragnhild,15,7,Ja,Namn
Ragni,15,7,Nej,Namn
Ragnvald,15,7,Ja,Namn
Ragny,15,7,Nej,Namn
Rauni,15,7,Nej,Namn
Reine,16,7,Ja,Namn
Reinhold,16,7,Ja,Namn
Reino,16,7,Nej,Namn
Bruno,17,7,Ja,Namn
Federico,18,7,Nej,Namn
Fred,18,7,Nej,Namn
Freddie,18,7,Nej,Namn
Freddy,18,7,Nej,Namn
Fredrik,18,7,Ja,Namn
Friedrich,18,7,Nej,Namn
Fritz,18,7,Ja,Namn
Salli,19,7,Nej,Namn
Sally,19,7,Nej,Namn
Sara,19,7,Ja,Namn
Zarah,19,7,Nej,Namn
Gret,20,7,Nej,Namn
Greta,20,7,Ja,Namn
Gretchen,20,7,Nej,Namn
Grete,20,7,Nej,Namn
Gretel,20,7,Nej,Namn
Maggie,20,7,Nej,Namn
Mait,20,7,Nej,Namn
Malgorzata,20,7,Nej,Namn
Maret,20,7,Nej,Namn
Marga,20,7,Nej,Namn
Margareta,20,7,Ja,Namn
Margita,20,7,Nej,Namn
Margret,20,7,Nej,Namn
Margreta,20,7,Nej,Namn
Margrete,20,7,Nej,Namn
Marguerite,20,7,Nej,Namn
Meit,20,7,Nej,Namn
Meta,20,7,Nej,Namn
Peggy,20,7,Nej,Namn
Janet,21,7,Nej,Namn
Janna,21,7,Nej,Namn
Jannie,21,7,Nej,Namn
Jeanna,21,7,Nej,Namn
Jeanne,21,7,Nej,Namn
Jen,21,7,Nej,Namn
Johanna,21,7,Ja,Namn
Johanne,21,7,Nej,Namn
Jonna,21,7,Nej,Namn
Lone,22,7,Nej,Namn
Madeleine,22,7,Ja,Namn
Magda,22,7,Nej,Namn
Magdalena,22,7,Ja,Namn
Malla,22,7,Nej,Namn
Emerentia,23,7,Nej,Namn
Emma,23,7,Ja,Namn
Emmy,23,7,Ja,Namn
Christa,24,7,Nej,Namn
Christiane,24,7,Nej,Namn
Kersti,24,7,Nej,Namn
Kerstin,24,7,Ja,Namn
Kickan,24,7,Nej,Namn
Kicki,24,7,Nej,Namn
Kirsten,24,7,Nej,Namn
Kirsti,24,7,Nej,Namn
Kristin,24,7,Nej,Namn
Kristina,24,7,Ja,Namn
Ninna,24,7,Nej,Namn
Stina,24,7,Nej,Namn
Tina,24,7,Nej,Namn
Titti,24,7,Nej,Namn
Ib,25,7,Nej,Namn
Jaakko,25,7,Nej,Namn
Jack,25,7,Nej,Namn
Jacqueline,25,7,Nej,Namn
Jacques,25,7,Nej,Namn
Jaime,25,7,Nej,Namn
Jakob,25,7,Ja,Namn
James,25,7,Nej,Namn
Jeppe,25,7,Nej,Namn
Jim,25,7,Nej,Namn
Jimi,25,7,Nej,Namn
Jimmie,25,7,Nej,Namn
Jimmy,25,7,Nej,Namn
Jasmina,26,7,Nej,Namn
Jasmine,26,7,Ja,Namn
Jesper,26,7,Ja,Namn
Marta,27,7,Ja,Namn
Botvid,28,7,Ja,Namn
Seve,28,7,Nej,Namn
Seved,28,7,Ja,Namn
Olav,29,7,Nej,Namn
Olavi,29,7,Nej,Namn
Ole,29,7,Nej,Namn
Olle,29,7,Nej,Namn
Olof,29,7,Ja,Namn
Algot,30,7,Ja,Namn
